level, questions, choices, answer, explanation
1,파이썬에서 변수 이름으로 사용할 수 없는 것은?,A) my_var \nB) _value \nC) 2ndvalue \nD) studentName, C
1,파이썬에서 정수형을 의미하는 데이터 타입은?,A) int \nB) float \nC) str \nD) bool, A
1,다음 중 불리언(Boolean) 값인 것은?,A) True \nB) 'False' \nC) 0 \nD) '0', A
1,다음 코드 실행 결과 x의 타입은?  x=3.14  type(x),A) int \nB) float \nC) str \nD) bool, X
1,다음 중 문자열(string)인 것은?,A) '123' \nB) 123 \nC) 12.3 \nD) True, A
1,변수 x=10일 때 type(x)의 출력은?,A) int \nB) float \nC) str \nD) bool, A
1,파이썬에서 여러 줄 문자열을 작성할 때 사용하는 기호는?,"A) ''' 또는 \\""\"" \nB) // \nC) /* */ \nD) --""", A
1,파이썬에서 변수 이름으로 권장되지 않는 것은?,A) total_sum \nB) tempVar \nC) Print \nD) numberOfItems, C
2,다음 중 불변(immutable)한 데이터 타입은?,A) list \nB) set \nC) str \nD) dict, C
2,파이썬에서 자료형을 확인하는 함수는?,A) typeof() \nB) type() \nC) dataType() \nD) checkType(), B
2,변수명으로 올바른 것은?,A) first-name \nB) first name \nC) firstName \nD) 2first, C
2,다음 중 mutable(가변) 자료형은?,A) tuple \nB) str \nC) list \nD) int, C
2,파이썬에서 불리언 연산 결과와 같은 값은?  bool(0),A) True \nB) False \nC) 1 \nD) 2, B
2,"x= \""10\"" 일 때 int(x)의 값은?",A) 10 \nB) '10' \nC) 에러 \nD) 0, A
2,다음 중 float 형의 값이 아닌 것은?,A) 3.5 \nB) 0.0 \nC) -2.7 \nD) '3.5', D
2,문자열 연결 연산자인 것은?,A) + \nB) * \nC) & \nD) ||, A
3,다음 중 reserved word(예약어)는?,A) class \nB) Class \nC) myClass \nD) className, A
3,문자열의 길이를 구하는 함수는?,A) count() \nB) size() \nC) len() \nD) length(), C
3,파이썬에서 소수점 이하 자리수 없이 정수를 표현하는 리터럴은?,A) float \nB) int \nC) bool \nD) char, B
3,다음 코드 출력 결과는?  x=None  print(type(x)),"A) <class 'str'> \nB) <class 'int'> \nC) <class 'NoneType'> \nD)<class,'bool'>", C
3,"다음 코드 출력은?  a=\""3\""  b=4  print(a*b)",A) 12 \nB) 3333 \nC) 에러 \nD) 7, B
3,파이썬에서 튜플(tuple)과 리스트(list)의 가장 큰 차이점은?,"A) 튜플은 가변, 리스트는 불변 \nB) 튜플은 불변, 리스트는 가변 \nC) 둘 다 가변 \nD) 둘 다 불변", B
3,다음 중 파이썬에서 함수형 프로그래밍 스타일을 지원하는 데이터 타입은?,A) dict \nB) tuple \nC) set \nD) list, B
3,파이썬에서 변수의 스코프(scope)에 영향을 주는 키워드는?,A) global \nB) static \nC) private \nD) extern, A
3,파이썬에서 리스트 컴프리헨션(List comprehension)의 용도로 가장 적절한 것은?,A) 반복문을 간단히 표현 \nB) 변수 선언 \nC) 클래스 정의 \nD) 함수 호출, A
